iter	Passed	Remaining
1106	2137623	1724388
1107	2140049	1722856
1108	2142331	1721206
1109	2144216	1719236
1110	2145974	1717166
1111	2147737	1715099
1112	2149500	1713033
1113	2151291	1710991
1114	2153222	1709059
1115	2155157	1707132
1116	2157163	1705259
1117	2159241	1703444
1118	2161342	1701647
1119	2164288	1700512
1120	2167287	1699416
1121	2170410	1698413
1122	2172682	1696742
1123	2175131	1695209
1124	2177431	1693558
1125	2179821	1691975
1126	2182260	1690429
1127	2184646	1688840
1128	2186714	1687004
1129	2188760	1685152
1130	2190898	1683369
1131	2192889	1681473
1132	2194930	1679616
1133	2197645	1678272
1134	2200734	1677211
1135	2204046	1676316
1136	2207348	1675410
1137	2209799	1673855
1138	2212665	1672611
1139	2214951	1670928
1140	2217090	1669132
1141	2219362	1667437
1142	2221666	1665763
1143	2224679	1664620
1144	2226559	1662627
1145	2228980	1661037
1146	2231044	1659181
1147	2233140	1657347
1148	2235314	1655572
1149	2237525	1653823
1150	2240056	1652309
1151	2242502	1650730
1152	2244861	1649087
1153	2247129	1647375
1154	2249355	1645632
1155	2251589	1643894
1156	2253889	1642202
1157	2256308	1640597
1158	2258809	1639049
1159	2261127	1637368
1160	2263604	1635800
1161	2266041	1634201
1162	2268608	1632696
1163	2270998	1631060
1164	2273396	1629429
1165	2275944	1627905
1166	2278397	1626311
1167	2280791	1624673
1168	2283070	1622952
1169	2285442	1621297
1170	2287730	1619580
1171	2289937	1617806
1172	2292215	1616080
1173	2294346	1614250
1174	2296628	1612526
1175	2298712	1610662
1176	2300975	1608923
1177	2303004	1607019
1178	2305273	1605283
1179	2307547	1603550
1180	2309573	1601643
1181	2311842	1599904
1182	2314035	1598112
1183	2316215	1596310
1184	2318495	1594576
1185	2320612	1592731
1186	2322758	1590903
1187	2325189	1589270
1188	2327503	1587556
1189	2330033	1585988
1190	2332354	1584278
1191	2334535	1582470
1192	2337208	1580995
1193	2339829	1579482
1194	2342990	1578332
1195	2345305	1576609
1196	2347607	1574877
1197	2350038	1573230
1198	2352499	1571602
1199	2354953	1569968
1200	2357470	1568375
1201	2360077	1566839
1202	2362722	1565327
1203	2365259	1563743
1204	2367672	1562074
1205	2370262	1560521
1206	2373784	1559578
1207	2377169	1558541
1208	2380472	1557447
1209	2383391	1556098
1210	2385921	1554493
1211	2388436	1552877
1212	2391130	1551376
1213	2393516	1549673
1214	2396086	1548088
1215	2398575	1546449
1216	2400987	1544760
1217	2403026	1542829
1218	2405035	1540879
1219	2407060	1538940
1220	2409048	1536976
1221	2411150	1535086
1222	2413178	1533147
1223	2415235	1531227
1224	2417438	1529400
1225	2419492	1527477
1226	2421594	1525584
1227	2423660	1523669
1228	2425738	1521760
1229	2427784	1519832
1230	2430030	1518028
1231	2432288	1516231
1232	2434381	1514331
1233	2436549	1512477
1234	2438731	1510631
1235	2440787	1508706
1236	2442751	1506725
1237	2444776	1504781
1238	2446819	1502849
1239	2448794	1500874
1240	2450820	1498930
1241	2452812	1496966
1242	2454760	1494975
1243	2456797	1493037
1244	2458744	1491046
1245	2460731	1489078
1246	2462746	1487127
1247	2464751	1485170
1248	2466970	1483342
1249	2469148	1481489
1250	2471367	1479659
1251	2473563	1477815
1252	2475622	1475889
1253	2477781	1474022
1254	2479870	1472114
1255	2482017	1470239
1256	2484089	1468320
1257	2486435	1466562
1258	2488638	1464718
1259	2490503	1462676
